kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.8721642059776737,0.8570047530814469,0.9582955160964363,0.7446939691575803,11825,0.7986453569377382
linear,ExtraTrees,0.8440043212099387,0.8432706222865413,0.9178155871405042,0.7238404116602419,11240,0.7745784678189244
linear,GradientBoosting,0.8388188692833993,0.8383648707207858,0.9301456153873705,0.714204190685914,11715,0.7698085436296925
linear,AdaBoost,0.8102268635217861,0.8136360421529104,0.9005159835573737,0.6669326471952359,13960,0.7283196539634309
linear,DecisionTree,0.8413395750810226,0.8406279389423424,0.9334245650303423,0.718507582536451,11510,0.7737030146758184
linear,KNN,0.8491897731364783,0.8457799381352188,0.9413147209440133,0.7259885695842139,11305,0.7810329367112743
linear,XGBoost,0.8743248109470652,0.8562484553917127,0.9582226540851189,0.7455722755553829,12285,0.7991699692449631
rbf,RandomForest,0.8702916816708678,0.8606576402321083,0.9585150887592545,0.750564211944731,10740,0.8031637301363734
rbf,ExtraTrees,0.8473172488296723,0.8468429417714203,0.9434767430570609,0.7314224383575743,10840,0.7853753496388561
rbf,GradientBoosting,0.8378826071299964,0.8379759591161017,0.9275159524096065,0.7140446575088132,11695,0.7691320466497007
rbf,AdaBoost,0.8058336334173568,0.8111780361395153,0.8942596320014367,0.6636528171515718,14070,0.724526702020339
rbf,DecisionTree,0.8360100828231904,0.836410661685466,0.9267558556529293,0.7111982949619179,11825,0.7668310437724749
rbf,KNN,0.8485415916456608,0.8460806557856986,0.938711527203034,0.7275219518032198,11160,0.7816157372814305
rbf,XGBoost,0.869571480014404,0.8571879189338381,0.957129161642993,0.7439989502220297,11425,0.7979438893774032
poly,RandomForest,0.877133597407274,0.8639770371551586,0.9621226812948577,0.7568075117955047,10985,0.8085874982313406
poly,ExtraTrees,0.5575801224342816,0.6526827613501441,0.7939003908832607,0.3084276123137795,31400,0.4399476829313122
poly,GradientBoosting,0.8464530068419157,0.8449228978760547,0.9407181605741238,0.726234200413414,11165,0.78099986219182
poly,AdaBoost,0.835145840835434,0.8348603996825625,0.9231976582141077,0.7072518011421852,12060,0.7632018324106074
poly,DecisionTree,0.8630896651062298,0.8487067250298448,0.9448933723662101,0.728770283300003,12390,0.7839885452862286
poly,KNN,0.8452286640259272,0.8432645321274889,0.9310805045870391,0.7224329095818113,11385,0.7762455908374246
poly,XGBoost,0.8800864241987757,0.8647111400016251,0.9624468153996599,0.7592703203534363,11265,0.8104497013274999
cosine,RandomForest,0.8763413755851639,0.8624529359929504,0.9626770712374049,0.7542366504571173,11215,0.8067463631667581
cosine,ExtraTrees,0.8487576521425999,0.8482439658910247,0.9470394917193619,0.7342167021409239,10700,0.7881839864316216
cosine,GradientBoosting,0.8440763413755852,0.8436032651881817,0.9385375198195705,0.7248369580256818,11175,0.7794537011007096
cosine,AdaBoost,0.8168527187612532,0.8187067797818492,0.9073923093531738,0.676098008906673,13550,0.7366177460834907
cosine,DecisionTree,0.8517104789341016,0.8474927783127176,0.9421842274157046,0.7286267567574669,11235,0.7832248530446395
cosine,KNN,0.8519265394310407,0.84860088365243,0.9417983706577508,0.7316202757485398,11015,0.7853539555207711
cosine,XGBoost,0.8759092545912855,0.8607226578287931,0.9614917056126919,0.7516733005582718,11540,0.8045419172962079
sigmoid,RandomForest,0.8719481454807346,0.861288812607271,0.9617928926396723,0.751560937505612,10835,0.80458011604259
sigmoid,ExtraTrees,0.8478934101548433,0.847178002894356,0.940659875208635,0.7317839094531966,10835,0.7850985119484002
sigmoid,GradientBoosting,0.8435722002160605,0.8413672217353199,0.9396087017186268,0.7183970606169422,11605,0.7749364049491168
sigmoid,AdaBoost,0.8243428159884768,0.826170622193714,0.9146819689904031,0.6916265322889565,12760,0.7496920286197215
sigmoid,DecisionTree,0.8454447245228665,0.844695324938486,0.938399954050678,0.7267088977012448,11095,0.7808457516948556
sigmoid,KNN,0.8525027007562117,0.8489006935222074,0.9441379965756127,0.7319395361046581,11020,0.7860753439406041
sigmoid,XGBoost,0.8788620813827872,0.860368587082849,0.9621878200178468,0.7538870960297067,12045,0.8061953899326489
